Brand,Description,Category_by_gender,Discount Price (in Rs.),Original Price (in Rs.),Color
netplay,Checked Polo T-shirt,Men,559,699,white
netplay,Tapered Fit Flat-Front Trousers,Men,720,"1,499",navy
the-indian-garage-co,Striped Slim Fit Shirt with Patch Pocket,Men,495,"1,649",white
performax,Heathered Crew-Neck T-shirt,Men,329,599,charcoal
john-players-jeans,Washed Skinny Fit Jeans with Whiskers,Men,899,999,jetblack
dennislingo-premium-attire,Slim Fit Shirt with Patch Pocket,Men,684,"1,849",olive
dennislingo-premium-attire,Striped Slim Fit Shirt,Men,700,"2,499",black
teamspirit,Track Pants with Contrast Taping,Men,419,499,ltblue
performax,Fastdry Active Crew-Neck T-shirt,Men,374,499,jetblack
ardeur,Pack of 2 Shorts with Insert Pocket,Men,500,"1,998",black
the-indian-garage-co,Checked Slim Fit Shirt with Patch Pocket,Men,490,"1,749",navy
campus-sutra,Striped Regular Fit Shirt,Men,675,"1,499",white
teamspirit,Heathered Crew-Neck T-shirt,Men,335,399,red
netplay,Leaf Print Shirt with Patch Pocket,Men,849,999,mintgreen
netplay,Leaf Print Polo T-shirt,Men,559,699,olive
netplay,Slim Fit Flat-Front Chinos with Insert Pockets,Men,779,"1,299",green
netplay,Mid-Rise Flat-Front Cropped Slim Fit Chinos,Men,779,"1,299",ltgrey
teamspirit,Heathered Polo T-shirt,Men,503,599,maroon
netplay,Mid-Rise Shorts with Insert Pockets,Men,212,299,navy
performax,Fastdry Active Panelled Track Pants,Men,719,799,jetblack
netplay,Slim Fit Flat-Front Trousers,Men,719,899,jetblack
dnmx,Mid-Rise Slim Fit Jeans,Men,799,999,black
puma,Crew-Neck T-shirt with Brand Icon,Men,675,"1,499",black
netplay,Tapered Fit Flat-Front Chinos,Men,720,"1,499",stone
netplay,Mid-Rise Shorts with Insert Pockets,Men,212,299,charcoal
netplay,Cropped Slim Fit Chinos with Slip Pockets,Men,974,"1,299",green
netplay,Striped Polo T-shirt with Ribbed Hems,Men,432,899,navy
netplay,Tapered Fit Flat-Front Trousers,Men,735,"1,499",ltgrey
teamspirit,Core Varsity Polo T-shirt with Contrast Tipping,Men,419,499,navy
netplay,Striped Button-Down T-shirt,Men,559,699,red
the-indian-garage-co,Checked Slim Fit Shirt with Patch Pocket,Men,490,"1,749",orange
the-indian-garage-co,Checked Slim Fit Shirt with Patch Pocket,Men,490,"1,749",beige
dnmx,Polo T-shirt with Signature Branding,Men,399,499,turquoise
dnmx,Lightly Washed Fitted Jeans,Men,639,799,mediumblue
dnmx,Mid-Rise Skinny Fit Jeans,Men,799,999,black
